测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
rdma-core,2,1,1
realmd,1,1,0
redis,4,3,1
redis5,4,3,1
redis6,4,3,1
resource-agents,2,2,0
rinetd,1,1,0
rng-tools,1,0,1
rootsh,2,0,2
rpcbind,2,2,0
rpmdevtools,5,3,2
rpmlint,2,2,0
rrdtool,2,2,0
rsync,2,2,0
rsyslog,27,17,10
rtkit,1,1,0
ruby,12,11,1
rubygem-bundler,14,13,1
rust,8,8,0
samba,5,0,5
sane-backends,1,1,0
sanlock,3,1,2
sblim-sfcb,1,1,0
scsi-target-utils,1,1,0
security-tool,2,0,2
sendmail,2,2,0
smartmontools,1,1,0
sos,4,0,4
spawn-fcgi,1,0,1
sphinx,1,1,0
spice-vdagent,2,2,0
sqlite,17,17,0
sqlite-jdbc,1,1,0
squid,1,1,0
sssd,17,17,0
storm,4,4,0
strongswan,2,0,2
stunnel,1,1,0
swig,11,11,0
switcheroo-control,1,1,0
sysprof,2,2,0
sysstat,3,3,0
systemd,160,124,36
systemtap,3,2,1
tang,3,3,0
targetcli,4,0,4
tcllib,3,3,0
telnet,1,1,0
tftp,2,2,0
tidy,16,16,0
tigervnc,1,1,0
timedatex,1,1,0
tomcat,3,2,1
tuned,1,0,1
udisks2,1,1,0
umoci,1,1,0
unbound,3,2,1
upower,1,1,0
usbmuxd,1,1,0
util-linux,3,3,0
uuid,2,2,0
varnish,2,2,0
vdo,1,0,1
vsftpd,2,2,0
watchdog,3,3,0
webbench,1,0,1
wireshark,12,2,10
wpa_supplicant,1,1,0
x265,1,1,0
xdelta,3,3,0
xfsprogs,1,1,0
xinetd,1,1,0
xmltoman,1,1,0
yelp-tools,3,3,0
ypbind,1,1,0
ypserv,3,3,0
zerofree,1,1,0
zvbi,1,1,0
