测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
kmod,oe_test_rmmod,2023-02-02-12_41_23.log,"preinstall absent
kernel module absent
",0,0,1,1,0,0,0,0,0
kmod,oe_test_weak-modules,2023-02-02-12_41_37.log,,0,0,0,0,0,0,0,0,0
ladspa,oe_test_ladspa_analyseplugin,2023-02-15-09_46_11.log,,0,0,0,0,0,0,0,0,0
ladspa,oe_test_ladspa_applyplugin,2023-02-15-09_48_30.log,,0,0,0,0,0,0,0,0,0
lighttpd,oe_test_service_lighttpd,2023-02-02-21_08_24.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
linuxptp,oe_test_service_phc2sys,2023-02-02-21_11_37.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
linuxptp,oe_test_service_ptp4l,2023-02-02-21_13_04.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
lldpad,oe_test_service_lldpad,2023-02-02-21_12_31.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
lm_sensors,oe_test_service_fancontrol,2023-02-02-21_16_12.log,"Broken testcase
kernel module absent
",1,0,0,1,0,0,0,0,0
lm_sensors,oe_test_service_lm_sensors,2023-02-02-21_17_10.log,"Broken testcase
kernel module absent
",1,0,0,1,0,0,0,0,0
logwatch,oe_test_logwatch,2023-02-02-21_17_17.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
lvm2,oe_test_lvm2_pvcreate_001,2023-02-02-02_41_04.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvcreate_002,2023-02-02-02_39_59.log,"file missing
",0,0,0,0,1,0,0,0,0
lvm2,oe_test_lvm2_pvmove_001,2023-02-02-02_41_37.log,"kernel module absent
file missing
",0,0,0,1,1,0,0,0,0
lvm2,oe_test_lvm2_pvmove_002,2023-02-02-02_45_09.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
lvm2,oe_test_lvm2_pvresize_001,2023-02-02-02_40_32.log,"file missing
",0,0,0,0,1,0,0,0,0
lvm2,oe_test_service_lvmlockd,2023-02-02-02_36_34.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
lvm2,oe_test_service_lvmlocks,2023-02-02-02_37_22.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
lxc,oe_test_lxc_autostart_cgroup,2023-02-02-21_39_19.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_create_attach,2023-02-02-21_33_28.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_device_copy,2023-02-02-21_41_12.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_info,2023-02-02-21_52_14.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_ls_monitor,2023-02-02-21_35_23.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_snapshot_start,2023-02-02-21_43_05.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_stop_top,2023-02-02-21_50_20.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
lxc,oe_test_lxc_unfreeze_destroy,2023-02-02-21_37_16.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_unshare_update,2023-02-02-21_45_00.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
lxc,oe_test_service_lxc-net,2023-02-02-21_29_48.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
mailman,oe_test_service_mailman,2023-02-02-21_40_47.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
mcstrans,oe_test_service_mcstrans,2023-02-02-21_55_46.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
mcstrans,oe_test_service_mcstransd,2023-02-02-21_54_27.log,"systemd unit restart failure
systemd unit runtime error
",0,0,0,0,0,1,1,0,0
mpg123,oe_test_mpg123,2023-02-02-22_04_12.log,,0,0,0,0,0,0,0,0,0
mrtg,oe_test_service_mrtg,2023-02-02-22_06_56.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
multipath-tools,oe_test_service_multipathd,2023-02-02-22_10_19.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
mysql,oe_test_service_mysql,2023-02-02-22_15_13.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
nagios,oe_test_service_nagios,2023-02-02-22_21_53.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
nbdkit,oe_test_nbdkit_02,2023-02-02-22_26_33.log,,0,0,0,0,0,0,0,0,0
netlabel_tools,oe_test_service_netlabel,2023-02-02-22_34_29.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
nfs-utils,oe_test_service_nfs-blkmap,2023-02-02-22_40_29.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
nftables,oe_test_nftables_anonymous_map,2023-02-02-22_42_28.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
nftables,oe_test_nftables_backup_rules,2023-02-02-22_44_52.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
nftables,oe_test_nftables_chains,2023-02-02-22_43_37.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
nftables,oe_test_nftables_create_counters,2023-02-02-22_40_55.log,"file missing
",0,0,0,0,1,0,0,0,0
nftables,oe_test_nftables_listen_package,2023-02-02-22_42_48.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
nftables,oe_test_nftables_name_sets,2023-02-02-22_43_20.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
nftables,oe_test_nftables_replace_counters,2023-02-02-22_45_10.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
nftables,oe_test_service_nftables,2023-02-02-22_45_26.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
nmon,oe_test_nmon_01,2023-02-02-22_54_34.log,"file missing
",0,0,0,0,1,0,0,0,0
nmon,oe_test_nmon_02,2023-02-02-22_58_48.log,"file missing
",0,0,0,0,1,0,0,0,0
nmon,oe_test_nmon_04,2023-02-02-23_04_01.log,,0,0,0,0,0,0,0,0,0
nss_wrapper,oe_test_nss_wrapper,2023-02-02-23_12_13.log,,0,0,0,0,0,0,0,0,0
ntfs-3g,oe_test_ntfs-3g_ntfsresize,2023-02-02-23_28_38.log,,0,0,0,0,0,0,0,0,0
numad,oe_test_service_numad,2023-02-02-23_16_26.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
nvmetcli,oe_test_service_nvmet,2023-02-02-23_19_36.log,"kernel module absent
file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,1,1,1,1,1,0
open-iscsi,oe_test_open-iscsi_iscsiadm,2023-02-02-23_26_11.log,"Broken testcase
file missing
timeout
",1,0,0,0,1,0,0,0,1
open-iscsi,oe_test_open-iscsi_iscsistart_iscsiuio,2023-02-02-23_27_35.log,"Broken testcase
file missing
timeout
",1,0,0,0,1,0,0,0,1
open-iscsi,oe_test_service_iscsid,2023-02-02-23_28_54.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
open-iscsi,oe_test_service_iscsiuio,2023-02-02-23_32_11.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
open-iscsi,oe_test_socket_iscsiuio,2023-02-02-23_35_20.log,"file missing
",0,0,0,0,1,0,0,0,0
OpenIPMI,oe_test_service_ipmi,2023-02-13-23_11_54.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
openmpi,oe_test_openmpi_cluster,2023-02-02-23_46_17.log,"Broken testcase
timeout
",1,0,0,0,0,0,0,0,1
openscap,oe_test_assess_safety_compliance,2023-02-03-00_21_22.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
openscap,oe_test_scanning_remote_system,2023-02-03-00_15_04.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
opensp,oe_test_opensp_onsgmls,2023-02-03-00_00_44.log,"timeout
",0,0,0,0,0,0,0,0,1
opensp,oe_test_opensp_osgmlnorm,2023-02-03-00_31_13.log,"timeout
",0,0,0,0,0,0,0,0,1
opensp,oe_test_opensp_osx,2023-02-03-01_02_57.log,"timeout
",0,0,0,0,0,0,0,0,1
openssh,oe_test_openssh_cipher,2023-02-02-02_52_59.log,,0,0,0,0,0,0,0,0,0
openssh,oe_test_openssh_port,2023-02-02-02_55_47.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
openssh,oe_test_openssh_scp,2023-02-02-02_59_49.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
openssh,oe_test_openssh_scp_P,2023-02-02-02_57_04.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
openssh,oe_test_openssh_scp_q,2023-02-02-02_58_08.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
openssh,oe_test_sec_jump_login,2023-02-02-03_07_54.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
openssh,oe_test_sec_ssh,2023-02-02-03_06_49.log,"file missing
",0,0,0,0,1,0,0,0,0
openvpn,oe_test_openvpn,2023-02-03-00_30_02.log,"timeout
",0,0,0,0,0,0,0,0,1
openvswitch,oe_test_service_openvswitch,2023-02-03-00_36_58.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
openvswitch,oe_test_service_openvswitch-ipsec,2023-02-03-00_47_02.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
openvswitch,oe_test_service_ovn-controller,2023-02-03-00_45_12.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
openvswitch,oe_test_service_ovn-controller-vtep,2023-02-03-00_46_15.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
openvswitch,oe_test_service_ovn-northd,2023-02-03-00_45_38.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
openvswitch,oe_test_service_ovs-vswitchd,2023-02-03-00_42_32.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
openvswitch,oe_test_service_ovsdb-server,2023-02-03-00_39_48.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
os-basic,oe_test_disk_graphics_card,2023-02-03-15_46_55.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_disk_schedule_udev,2023-02-03-14_28_00.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_IOaccess_1Gfile,2023-02-03-15_13_23.log,"timeout
",0,0,0,0,0,0,0,0,1
os-basic,oe_test_kernel_kdump,2023-02-03-15_08_15.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_nmcli_set_bond,2023-02-03-15_45_51.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_nmcli_set_team,2023-02-03-15_47_55.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_power_measurement_internal,2023-02-03-14_11_45.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_power_powertop2tuned_optimize,2023-02-03-14_07_15.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_power_powertop_powerup,2023-02-03-14_05_11.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_server_openssh_verifykey,2023-02-03-13_13_41.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
os-basic,oe_test_system_monitor_share_total,2023-02-03-15_46_44.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_who,2023-02-03-12_58_27.log,,0,0,0,0,0,0,0,0,0
osc,oe_test_osc_04,2023-02-02-03_14_32.log,,0,0,0,0,0,0,0,0,0
osc,oe_test_osc_build,2023-02-02-03_20_13.log,"file missing
",0,0,0,0,1,0,0,0,0
paps,oe_test_paps,2023-02-03-01_09_53.log,,0,0,0,0,0,0,0,0,0
pcp,oe_test_pmevent_02,2023-02-03-01_28_33.log,"file missing
",0,0,0,0,1,0,0,0,0
pcp,oe_test_pmhostname_pmlock_pmlogger_check,2023-02-03-02_23_24.log,,0,0,0,0,0,0,0,0,0
pcp,oe_test_pmlogger_daily_01,2023-02-03-02_27_25.log,,0,0,0,0,0,0,0,0,0
pcp,oe_test_pmlogger_daily_report,2023-02-03-02_39_15.log,"file missing
",0,0,0,0,1,0,0,0,0
pcp,oe_test_pmprobe_01,2023-02-03-01_56_36.log,"file missing
",0,0,0,0,1,0,0,0,0
pcp,oe_test_pmval_02,2023-02-03-02_14_00.log,"file missing
",0,0,0,0,1,0,0,0,0
pcp,oe_test_service_pmmgr,2023-02-03-03_16_45.log,"pkg not found
file missing
systemd unit restart failure
systemd unit runtime error
",0,1,0,0,1,1,1,0,0
pcp,oe_test_service_pmwebd,2023-02-03-03_19_50.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
pcp-system-tools,oe_test_dstat_03,2023-02-03-03_22_28.log,"file missing
",0,0,0,0,1,0,0,0,0
pcp-system-tools,oe_test_pcp-iostat,2023-02-03-03_41_28.log,,0,0,0,0,0,0,0,0,0
pcp-system-tools,oe_test_pcp-mpstat_pcp-numastat,2023-02-03-03_46_59.log,,0,0,0,0,0,0,0,0,0
pcp-system-tools,oe_test_pcp-pidstat_02_pcp-ipcs,2023-02-03-03_36_18.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_01,2023-02-03-04_08_00.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_02,2023-02-03-04_10_01.log,,0,0,0,0,0,0,0,0,0
podman,oe_test_podman_03,2023-02-03-04_12_14.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_04,2023-02-03-04_14_19.log,"file missing
",0,0,0,0,1,0,0,0,0
podman,oe_test_podman_05,2023-02-03-04_16_23.log,"file missing
",0,0,0,0,1,0,0,0,0
